#DATABASE CATEGORIES
#ID  Name  IsVisibleFor  DefaultOffFor TimeLimitEnabled
#0 RESERVED
#1 "Immer ein" None None
2 "App Stores & Downloads" Kid,Teen,Adult None Enabled
3 "Blogs & Persönliche Websites" Teen,Adult None Enabled
4 "Business" Kid,Teen,Adult None Enabled
5 "Chat & Foren" Teen,Adult None Enabled
6 "Kunst & Unterhaltung" Kid,Teen,Adult None Enabled
7 "Partnersuche" Adult None Enabled
8 "Bildung" Kid,Teen,Adult None Enabled
9 "E-Mail" Kid,Teen,Adult None Enabled
10 "AnstöÃger Inhalt" Adult Adult Disabled
11 "Familie" None None Disabled
12 "Glücksspiel" Adult None Enabled
13 "Onlinespiele" Kid,Teen,Adult None Enabled
14 "Regierung & Politik" Teen,Adult None Enabled
15 "Gesundheit" Teen,Adult None Enabled
16 "Hobbys" None None Disabled
17 "Zuhause & Familie" Kid,Teen,Adult None Enabled
18 "Probleme & Lifestyles" Kid,Teen,Adult None Enabled
19 "Schädlicher Inhalt" None None Enabled
20 "Erwachseneninhalt" Adult None Disabled
21 "Musik" Kid,Teen,Adult None Enabled
22 "Nachrichten" Teen,Adult None Enabled
23 "Onlineshopping" Teen,Adult None Enabled
24 "Foto" Kid,Teen,Adult None Enabled
25 "Wissenschaft & Technik" Kid,Teen,Adult None Enabled
26 "Suche & Referenz" Kid,Teen,Adult None Enabled
27 "Social Media" Teen,Adult None Enabled
28 "Sport & Erholung" Kid,Teen,Adult None Enabled
29 "Videos" Kid,Teen,Adult None Enabled
#30 "Werbung" Kid,Teen,Adult None Disabled
31 "VPNs & Proxys" Teen,Adult Teen Disabled
32 "Kinder" Pre-K,Kid None Enabled
33 "Reisen" Kid,Teen,Adult None Enabled
62 "Unbekannte IPs" None None Disabled
63 "Nicht kategorisiert" None None Disabled
#
##FILTER SWITCHES
#ID  Name  IsVisibleFor  DefaultOnFor TimeLimitEnabled
192 "Werbeblockierung" Kid,Teen,Adult None Disabled
193 "Google SafeSearch" Kid,Teen,Adult Kid Disabled
194 "YouTube eingeschränkt" Pre-K,Kid,Teen,Adult Pre-K  Disabled
