#DATABASE CATEGORIES
#ID  Name  IsVisibleFor  DefaultOffFor TimeLimitEnabled
#0 RESERVED
#1 "Always On" None None
2 "App Stores & Downloads" Kid,Teen,Adult None Enabled
3 "Blogs & Personal Sites" Teen,Adult None Enabled
4 "Business" Kid,Teen,Adult None Enabled
5 "Chat & Forums" Teen,Adult None Enabled
6 "Arts & Entertainment" Kid,Teen,Adult None Enabled
7 "Dating" Adult None Enabled
8 "Education" Kid,Teen,Adult None Enabled
9 "Email" Kid,Teen,Adult None Enabled
10 "Explicit Content" Adult Adult Disabled
11 "Family" None None Disabled
12 "Gambling" Adult None Enabled
13 "Online Games" Kid,Teen,Adult None Enabled
14 "Government & Politics" Teen,Adult None Enabled
15 "Health" Teen,Adult None Enabled
16 "Hobbies" None None Disabled
17 "Home & Family" Kid,Teen,Adult None Enabled
18 "Issues & Lifestyles" Kid,Teen,Adult None Enabled
19 "Malicious Content" None None Enabled
20 "Mature" Adult None Disabled
21 "Music" Kid,Teen,Adult None Enabled
22 "News" Teen,Adult None Enabled
23 "Online Shopping" Teen,Adult None Enabled
24 "Photo" Kid,Teen,Adult None Enabled
25 "Science & Technology" Kid,Teen,Adult None Enabled
26 "Search & Reference" Kid,Teen,Adult None Enabled
27 "Social Media" Teen,Adult None Enabled
28 "Sports & Rec" Kid,Teen,Adult None Enabled
29 "Videos" Kid,Teen,Adult None Enabled
#30 "Ads" Kid,Teen,Adult None Disabled
31 "VPNs & Proxies" Teen,Adult Teen Disabled
32 "Kids" Pre-K,Kid None Enabled
33 "Travel" Kid,Teen,Adult None Enabled
62 "Unknown IPs" None None Disabled
63 "Uncategorized" None None Disabled
#
##FILTER SWITCHES
#ID  Name  IsVisibleFor  DefaultOnFor TimeLimitEnabled
192 "Ad Blocking" Kid,Teen,Adult None Disabled
193 "Safe Search" Kid,Teen,Adult Kid Disabled
194 "YouTube Restricted" Pre-K,Kid,Teen,Adult Pre-K  Disabled
