#DATABASE CATEGORIES
#ID  Name  IsVisibleFor  DefaultOffFor TimeLimitEnabled
#0 RESERVED
#1 "Siempre activado" None None
2 "Tiendas de aplicaciones y descargas" Kid,Teen,Adult None Enabled
3 "Blogs y webs personales" Teen,Adult None Enabled
4 "Negocios" Kid,Teen,Adult None Enabled
5 "Chat y foros" Teen,Adult None Enabled
6 "Arte y entretenimiento" Kid,Teen,Adult None Enabled
7 "Citas" Adult None Enabled
8 "Educación" Kid,Teen,Adult None Enabled
9 "Email" Kid,Teen,Adult None Enabled
10 "Contenido explícito" Adult Adult Disabled
11 "Familia" None None Disabled
12 "Juego" Adult None Enabled
13 "Juegos online" Kid,Teen,Adult None Enabled
14 "Gobierno y política" Teen,Adult None Enabled
15 "Salud" Teen,Adult None Enabled
16 "Aficiones" None None Disabled
17 "Hogar y familia" Kid,Teen,Adult None Enabled
18 "Estilos de vida" Kid,Teen,Adult None Enabled
19 "Contenido malicioso" None None Enabled
20 "Maduro" Adult None Disabled
21 "Música" Kid,Teen,Adult None Enabled
22 "Noticias" Teen,Adult None Enabled
23 "Compras en internet" Teen,Adult None Enabled
24 "Fotografía" Kid,Teen,Adult None Enabled
25 "Ciencia y tecnología" Kid,Teen,Adult None Enabled
26 "Búsquedas y referencia" Kid,Teen,Adult None Enabled
27 "Redes sociales" Teen,Adult None Enabled
28 "Deportes y ocio" Kid,Teen,Adult None Enabled
29 "Vídeos" Kid,Teen,Adult None Enabled
#30 "Anuncios" Kid,Teen,Adult None Disabled
31 "VPN y proxy" Teen,Adult Teen Disabled
32 "Niños" Pre-K,Kid None Enabled
33 "Viajes" Kid,Teen,Adult None Enabled
62 "IP desconocidas" None None Disabled
63 "Sin clasificar" None None Disabled
#
##FILTER SWITCHES
#ID  Name  IsVisibleFor  DefaultOnFor TimeLimitEnabled
192 "Bloqueo de anuncios" Kid,Teen,Adult None Disabled
193 "Búsqueda segura en Google" Kid,Teen,Adult Kid Disabled
194 "YouTube restringido" Pre-K,Kid,Teen,Adult Pre-K  Disabled
