#DATABASE CATEGORIES
#ID  Name  IsVisibleFor  DefaultOffFor TimeLimitEnabled
#0 RESERVED
#1 "Toujours activé" None None
2 "Boutiques d'applications et téléchargements" Kid,Teen,Adult None Enabled
3 "Blogs et sites personnels" Teen,Adult None Enabled
4 "Affaires" Kid,Teen,Adult None Enabled
5 "Chats et forums" Teen,Adult None Enabled
6 "Arts et divertissement" Kid,Teen,Adult None Enabled
7 "Rencontres" Adult None Enabled
8 "Ãucation" Kid,Teen,Adult None Enabled
9 "E-mail" Kid,Teen,Adult None Enabled
10 "Contenu explicite" Adult Adult Disabled
11 "Famille" None None Disabled
12 "Jeux dâgent" Adult None Enabled
13 "Jeux en ligne" Kid,Teen,Adult None Enabled
14 "Gouvernement et politique" Teen,Adult None Enabled
15 "Santé" Teen,Adult None Enabled
16 "Loisirs" None None Disabled
17 "Maison et famille" Kid,Teen,Adult None Enabled
18 "Styles de vie" Kid,Teen,Adult None Enabled
19 "Contenu malveillant" None None Enabled
20 "Mûr" Adult None Disabled
21 "Musique" Kid,Teen,Adult None Enabled
22 "Actualités" Teen,Adult None Enabled
23 "Achats en ligne" Teen,Adult None Enabled
24 "Photo" Kid,Teen,Adult None Enabled
25 "Sciences et technologie" Kid,Teen,Adult None Enabled
26 "Recherches et référence" Kid,Teen,Adult None Enabled
27 "Réseaux sociaux" Teen,Adult None Enabled
28 "Sports et loisirs" Kid,Teen,Adult None Enabled
29 "Vidéos" Kid,Teen,Adult None Enabled
#30 "Publicités" Kid,Teen,Adult None Disabled
31 "VPN et proxys" Teen,Adult Teen Disabled
32 "Enfants" Pre-K,Kid None Enabled
33 "Voyages" Kid,Teen,Adult None Enabled
62 "IP inconnues" None None Disabled
63 "Non classés" None None Disabled
#
##FILTER SWITCHES
#ID  Name  IsVisibleFor  DefaultOnFor TimeLimitEnabled
192 "Blocage de publicités" Kid,Teen,Adult None Disabled
193 "Recherche sûre Google" Kid,Teen,Adult Kid Disabled
194 "YouTube limité" Pre-K,Kid,Teen,Adult Pre-K  Disabled
